SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1.024,2,10,protocol,7.5,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0.779238
3,2.048,4,10,protocol,7.5,10,18,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.737995
4,2.048,4,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.687633
5,2.048,4,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.627143
6,2.048,4,10,protocol,7.5,20,50,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.585452
7,2.048,4,10,protocol,7.5,30,80,2.66667,0,0,0,0,0,0,0,0,0,0,0,0,0.562139
8,2.048,4,10,protocol,7.5,30,85,2.83333,0,0,0,0,0,0,0,0,0,0,0,0,0.5313
9,2.048,4,10,protocol,7.5,30,80,2.66667,0,0,0,0,0,0,0,0,0,0,0,0,0.507846
10,2.048,4,10,protocol,7.5,40,90,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0.48411
11,2.048,4,10,protocol,7.5,40,90,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0.465689
12,2.048,4,10,protocol,7.5,40,90,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0.451605
13,3.584,7,10,protocol,7.5,50,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0.459013
14,7.168,14,10,protocol,7.5,50,99,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0.490567
15,4.096,8,10,protocol,7.5,50,80,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.479451
16,4.096,8,10,protocol,7.5,50,80,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.468403
17,4.096,8,10,protocol,7.5,50,99,1.98,0,0,0,0,1,0.5,0.5,0.454545,0.333333,0.333333,0.333333,0.333333,0.465406
18,4.096,8,10,protocol,7.5,60,95,1.58333,0,0,0,0.944444,0.95,0.678571,0.316667,0.2375,0.206522,0.206522,0.206522,0.206522,0.455743
19,4.096,8,10,protocol,7.5,60,92,1.53333,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,0.446557
20,4.096,8,10,protocol,7.5,60,93,1.55,0,0,0,1,1,1,0.333333,0.25,0.25,0.25,0.25,0.25,0.438524
