SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,10,protocol,7.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706522
3,0,0,10,protocol,7.5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.645674
4,0,0,10,protocol,7.5,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.560472
5,0,0,10,protocol,7.5,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.484411
6,0,0,10,protocol,7.5,30,20,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.423528
7,0,0,10,protocol,7.5,30,20,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.401557
8,0,0,10,protocol,7.5,30,20,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.371593
9,0,0,10,protocol,7.5,40,30,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.345922
10,0,0,10,protocol,7.5,40,24,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.327033
11,0,0,10,protocol,7.5,50,10,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.310957
12,0,0,10,protocol,7.5,50,10,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.299682
13,0,0,10,protocol,7.5,50,10,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.310703
14,0,0,10,protocol,7.5,60,20,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0.315342
15,0,0,10,protocol,7.5,60,20,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0.309647
16,0,0,10,protocol,7.5,70,31,0.442857,0,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.300623
17,0,0,10,protocol,7.5,70,38,0.542857,0,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.298201
18,0,0,10,protocol,7.5,70,30,0.428571,0,0,0,0,1,1,1,0.5,0.5,0.5,0.5,0.5,0.292032
19,0,0,10,protocol,7.5,80,49,0.6125,0,0,0,0,0.95,0.316667,0.316667,0.19,0.19,0.19,0.19,0.19,0.286022
20,0,0,10,protocol,7.5,80,58,0.725,0,0,0,0,1,0.333333,0.333333,0.2,0.2,0.2,0.2,0.2,0.280944
21,0,0,10,protocol,7.5,90,63,0.7,0,0,0,0,0.95,0.316667,0.271429,0.166667,0.158333,0.158333,0.158333,0.158333,0.276325
